date,event_name,continent,country_code,latitude,longitude,temperature,max_temperature,min_temperature,humidity,wind_speed,precipitation,uv_index,condition,event_type
03-09-2024,"YELLOWSTONE REGION, WYOMING",nar,USA,44.688167,-110.4525,-10.4,-0.1,-18.8,86,13,0.03,1,Mist,EQ
03-09-2024,WASHINGTON,nar,USA,46.2905,-122.165,4,5.4,2,92,22,13.07,2,Light rain shower,EQ
03-09-2024,UTAH,nar,USA,39.566833,-111.214,-3,1.9,-7.4,55,8.3,0,2,Sunny,EQ
03-09-2024,OREGON,nar,USA,43.716333,-121.234833,-1.5,0,-2.7,82,41.4,2.21,1,Moderate or heavy snow showers,EQ
03-09-2024,SOUTHERN ALASKA,nar,USA,61.4526,-146.1767,-8.3,-5.7,-11.3,86,19.1,3.02,1,Heavy snow,EQ
03-09-2024,ALABAMA,nar,USA,34.883833,-85.036167,14.3,17.9,8.9,89,22.3,12.69,4,Light rain shower,EQ
03-09-2024,MONTANA,nar,USA,46.827667,-112.3825,-1.9,4.5,-7.3,71,14,0,1,Overcast,EQ
03-09-2024,EASTERN IDAHO,nar,USA,44.627333,-112.606667,-8.9,-0.8,-15.4,74,20.5,0,2,Sunny,EQ
03-09-2024,OKLAHOMA,nar,USA,36.695667,-97.674167,6.1,11.7,1.2,54,29.5,0,4,Sunny,EQ
03-09-2024,UTAH,nar,USA,38.493667,-112.879833,2.7,10.3,-3.8,40,17.3,0,4,Sunny,EQ
02-09-2024,CENTRAL ALASKA,nar,USA,64.9043,-149.1394,-13.1,-9,-16.9,90,18,0.22,1,Light snow,EQ
02-09-2024,SOUTHERN ALASKA,nar,USA,60.4365,-145.7364,1.4,2,-0.4,89,48.6,45.12,1,Heavy snow,EQ
02-09-2024,"SYRUP Wildfire, Elmore, Idaho",nar,USA,43.26927957,-115.672065,1.9,4.5,0,64,27,0.18,1,Light snow showers,WF
02-09-2024,SOUTHERN CALIFORNIA,nar,USA,33.715167,-118.618833,12.5,14.3,11.1,62,19.4,0.06,3,Patchy rain possible,EQ
02-09-2024,"VANCOUVER ISLAND, CANADA REGION",nar,CAN,48.441502,-123.448997,4.1,5.7,2.4,84,10.1,0.53,2,Patchy rain possible,EQ
02-09-2024,WASHINGTON,nar,USA,47.579,-120.287333,-0.2,6,-3.5,67,9,0.01,3,Partly cloudy,EQ
02-09-2024,CENTRAL CALIFORNIA,nar,USA,36.467167,-121.043999,4.9,11,0.5,75,16.6,0.03,4,Partly cloudy,EQ
02-09-2024,CENTRAL ALASKA,nar,USA,64.7852,-147.3752,-12.2,-7.4,-17.6,92,7.2,0.19,1,Moderate snow,EQ
01-09-2024,CENTRAL ALASKA,nar,USA,62.2347,-154.2832,-17.7,-11,-24,96,12.6,0.07,1,Light freezing rain,EQ
01-09-2024,NEAR COAST OF WASHINGTON,nar,USA,47.689,-124.039333,6.4,10.3,5.6,83,49.7,19.04,3,Moderate or heavy rain with thunder,EQ
01-09-2024,NORTHERN CALIFORNIA,nar,USA,40.787834,-123.554001,1.3,3.7,-6.5,98,7.9,7.3,1,Light rain,EQ
01-09-2024,"M 2.9 - 6 km ENE of Capulin, New Mexico",nar,USA,36.30310857,-106.734,-9.9,-1.1,-16.2,70,14,0,2,Sunny,EQ
01-09-2024,"M 3.8 - 5 km SE of Pierreville, Canada",nar,CAN,46.09280857,-72.7553,-7.8,-2.3,-11.6,87,26.3,5.22,1,Overcast,EQ
01-09-2024,"M 3.5 - 31 km NE of Seeley Lake, Montana",nar,USA,47.39940857,-113.1597,-7.9,-0.6,-14.4,88,33.8,6.08,1,Light snow showers,EQ
01-09-2024,"GEORGIA, USA",nar,USA,33.8355,-82.147167,11.5,18.1,5.8,92,40,80.75,4,Light rain shower,EQ
01-09-2024,NEW JERSEY,nar,USA,40.6728,-74.7275,2.1,12.3,-3.9,95,38.2,59.48,3,Moderate rain,EQ
31-08-2024,SOUTHERN CALIFORNIA,nar,USA,34.379333,-119.928667,23.5,29.8,17,48,12.2,0.03,6,Patchy rain possible,EQ
31-08-2024,SOUTHEASTERN ALASKA,nar,USA,58.7432,-137.5187,11.4,12.7,10.2,97,8.6,10.76,3,Light rain,EQ
31-08-2024,"M 2.7 - 25 km WSW of Lander, Wyoming",nar,USA,42.79930857,-109.0215,22.7,30.3,15.8,16,15.5,0,8,Sunny,EQ
31-08-2024,NORTHERN ALASKA,nar,USA,66.1462,-147.8202,7.1,11,4.4,72,9,0,4,Partly cloudy,EQ
31-08-2024,KENTUCKY,nar,USA,38.7255,-83.6315,24.2,31.5,18.8,76,14,7.41,7,Patchy light drizzle,EQ
31-08-2024,ARKANSAS,nar,USA,35.324,-92.660167,25.4,30.3,21.6,76,12.6,1.45,7,Patchy rain possible,EQ
31-08-2024,CENTRAL ALASKA,nar,USA,63.0849,-145.1349,5.4,9.6,1.2,74,11.2,1.21,2,Light rain shower,EQ
31-08-2024,OFF COAST OF NORTHERN CALIFORNIA,nar,USA,41.511667,-125.5825,14.7,16.7,13.2,86,8.6,0.02,4,Patchy rain possible,EQ
31-08-2024,WASHINGTON,nar,USA,46.269833,-120.5105,26.6,35.3,18.9,20,7.6,0,9,Sunny,EQ
31-08-2024,"M 4.3 - 86 km E of Codrington, Antigua and Barbuda",nar,ATG,17.64530857,-61.0117,28.6,28.9,28.4,74,26.3,2.8,6,Light rain shower,EQ
30-08-2024,"M 4.9 - 3 km NE of Venustiano Carranza (Peña Blanca), Mexico",nar,MEX,17.70750857,-94.7287,26.5,30.8,23.8,87,11.2,14.17,7,Patchy light rain with thunder,EQ
30-08-2024,"M 2.7 - 14 km ESE of Molalla, Oregon",nar,USA,45.16067524,-122.4026667,21.7,31.7,13.3,32,8.6,0,8,Sunny,EQ
29-08-2024,NEAR COAST OF OREGON,nar,USA,45.661,-124.128333,15.9,20.6,11.7,64,16.9,0,6,Sunny,EQ
29-08-2024,OKLAHOMA,nar,USA,35.902167,-95.156667,28.6,36.7,22.9,56,20.2,0.59,8,Cloudy,EQ
29-08-2024,CENTRAL ALASKA,nar,USA,62.2573,-141.6637,10.7,16.1,6.3,69,5.8,0.9,4,Overcast,EQ
29-08-2024,NEVADA,nar,USA,39.5222,-119.5123,22.4,30.6,14.3,17,15.8,0,8,Sunny,EQ
29-08-2024,"M 2.5 - 6 km SE of Hill City, Kansas",nar,USA,39.37470857,-99.7871,27.5,35.8,20.1,49,40,7.28,8,Patchy rain possible,EQ
28-08-2024,SOUTHERN ALASKA,nar,USA,60.2106,-143.5228,8.6,9.8,7.9,96,12.6,25.72,2,Light rain shower,EQ
28-08-2024,NORTH CAROLINA,nar,USA,36.451333,-81.078833,24.8,32.1,19.5,54,7.6,0.17,8,Partly cloudy,EQ
28-08-2024,NORTHERN ALASKA,nar,USA,65.6697,-143.0319,11.9,14.1,9.3,72,11.2,1.91,3,Light rain shower,EQ
27-08-2024,"M 4.7 - 92 km SSW of San Andrés Playa Encantada (El Podrido), Mexico",nar,MEX,15.95400857,-99.915,26.7,28.5,24.7,84,14.8,20.05,6,Moderate or heavy rain shower,EQ
26-08-2024,SOUTH CAROLINA,nar,USA,33.252833,-81.701333,25.6,32.5,19.4,57,11.5,0,8,Sunny,EQ
26-08-2024,Wildfire in Canada 1021827,nar,CAN,57.06495141,-94.37444382,12.5,19.5,8.9,73,33.1,0.04,4,Patchy rain possible,WF
26-08-2024,NORTHERN ALASKA,nar,USA,66.2692,-149.2497,7.5,11.5,3.9,70,7.9,0.02,3,Patchy rain possible,EQ
26-08-2024,SOUTHERN ALASKA,nar,USA,61.9195,-144.0485,-1.6,-0.1,-3.5,89,15.1,2.14,1,Light snow showers,EQ
26-08-2024,Earthquake in Costa Rica,nar,CRI,8.563338941,-83.39239213,23,24.4,22.3,95,4.3,23.72,5,Light rain shower,EQ
26-08-2024,"M 4.2 - 24 km WSW of Brisas Barra de Suchiate, Mexico",nar,MEX,14.47860857,-92.4238,27.3,30,25.1,77,10.8,4.87,7,Light rain shower,EQ
26-08-2024,Flood in United States,nar,USA,32.6779678,-83.25075639,26.3,33.1,20.7,63,13,0,8,Sunny,FL
25-08-2024,"M 2.5 - 132 km E of McCarthy, Alaska",nar,CAN,61.50770857,-140.4342,5,7.4,-1.2,86,8.6,1.74,2,Light drizzle,EQ
25-08-2024,"M 4.8 - 73 km WNW of Tamarindo, Costa Rica",nar,CRI,10.65170857,-86.4385,26.5,29.5,24.4,80,10.4,1.4,6,Light rain shower,EQ
25-08-2024,ALASKA PENINSULA,nar,USA,56.2746,-159.1811,7.9,9.1,6.8,78,38.2,1.46,2,Patchy rain possible,EQ
24-08-2024,NORTHERN ALASKA,nar,USA,67.4774,-158.1173,6.4,9.4,2.9,72,10.4,0.01,2,Overcast,EQ
24-08-2024,"M 4.2 - 34 km WNW of Fox Creek, Canada",nar,CAN,54.62030857,-117.2549,12,14.1,9.1,93,20.2,11.11,3,Light rain shower,EQ
24-08-2024,ALABAMA,nar,USA,34.584333,-85.984,23.1,30.5,16.3,49,10.8,0,8,Sunny,EQ
24-08-2024,NORTHERN ALASKA,nar,USA,65.4521,-144.0966,8.1,10.4,5.1,77,14.4,2.69,3,Light rain shower,EQ
23-08-2024,"Sharrott Creek Wildfire, Ravalli, Montana",nar,USA,46.55770957,-114.18433,18.7,29.5,12.8,46,36,0.04,6,Patchy rain possible,WF
23-08-2024,MONTANA,nar,USA,47.4765,-115.816333,17.3,26.8,10.9,45,13.3,0.22,6,Patchy rain possible,EQ
23-08-2024,"M 4.0 - 132 km SW of Manuel Ávila Camacho (Ponte Duro), Mexico",nar,MEX,14.87630857,-94.29,26,31,21.9,78,11.2,1.36,7,Patchy rain possible,EQ
23-08-2024,"M 3.2 - 23 km N of Nelson Lagoon, Alaska",nar,USA,56.26110857,-161.1548,9.9,10.8,8.9,89,13.3,1.1,3,Light drizzle,EQ
22-08-2024,"Chalky Point Wildfire, Rosebud, Montana",nar,USA,45.77000857,-106.9085,23.4,30.3,16.4,42,23.8,0.32,8,Sunny,WF
22-08-2024,"RANGE 77 Wildfire, Nye, Nevada",nar,USA,37.29775857,-116.52825,24.4,30.9,18.3,13,46.1,0,8,Sunny,WF
22-08-2024,CENTRAL TEXAS,nar,USA,29.688,-98.252,32.1,39.5,26.1,52,28.8,5.64,8,Thundery outbreaks possible,EQ
22-08-2024,"Island Wildfire, Union, New Mexico",nar,USA,36.99763657,-103.644364,23.8,32.3,16.9,46,22.7,0.62,8,Partly cloudy,WF
22-08-2024,"RAT ISLANDS, ALEUTIAN ISLANDS",nar,USA,52.0455,178.364333,10.4,10.7,10.1,91,23,0,4,Partly cloudy,EQ
22-08-2024,"Sage Creek Wildfire, Pennington, South Dakota",nar,USA,43.94284157,-102.355533,28.5,34.4,24.3,43,43.2,0,8,Partly cloudy,WF
29-08-2024,Tropical Cyclone HONE-24,nar,USA,18.8,-157.3,25.9,27.3,24.7,74,11.2,0.75,6,Patchy rain possible,TC
22-08-2024,"GEORGIA, USA",nar,USA,32.2165,-81.947333,24.1,28,21.3,84,23,13.61,6,Light rain shower,EQ
20-08-2024,"M 4.3 - 12 km SSW of Cabeza de Toro, Mexico",nar,MEX,15.88440857,-93.8359,26,30.1,21.7,76,12.6,3.49,7,Patchy rain possible,EQ
20-08-2024,TENNESSEE,nar,USA,35.459833,-84.452833,20.2,26.8,15,65,18.4,0,6,Mist,EQ
20-08-2024,"M 2.6 - 88 km W of Point Sur, CA",nar,USA,36.16617524,-122.8561667,15.5,18.1,13,73,18.4,0,5,Sunny,EQ
20-08-2024,SOUTHEASTERN ALASKA,nar,USA,59.0244,-134.5398,11.6,13,10.3,80,13.3,0.27,3,Patchy rain possible,EQ
20-08-2024,"M 3.3 - 50 km ESE of Mud Bay, Alaska",nar,USA,59.07340857,-134.5398,11.6,13,10.3,80,13.3,0.27,3,Patchy rain possible,EQ
20-08-2024,UTAH,nar,USA,37.9215,-111.2735,19,27.4,11.3,44,25.6,0,7,Partly cloudy,EQ
20-08-2024,"M 2.6 - 65 km NNW of Arctic Village, Alaska",nar,USA,68.68020857,-146.3412,4.9,7.6,1.7,66,22.3,0.01,3,Partly cloudy,EQ
28-08-2024,Tropical Cyclone GILMA-24,nar,USA,22.8,-160.6,25,26.7,23.4,73,10.1,0.93,6,Patchy rain possible,TC
19-08-2024,OKLAHOMA,nar,USA,34.9085,-98.860333,35.5,42.9,29.7,25,25.6,0,10,Partly cloudy,EQ
19-08-2024,"M 2.8 - 24 km WSW of Fort Davis, Texas",nar,USA,30.58800857,-104.147,26.2,31.8,20.4,38,27,0,8,Sunny,EQ
18-08-2024,"Hobson Wildfire, White Pine, Nevada",nar,USA,39.96750857,-115.401167,22.2,29.5,15,22,41.8,0,7,Sunny,WF
18-08-2024,"M 2.5 - 97 km WSW of Pelican, Alaska",nar,USA,57.83610857,-137.8396,14.6,18,11.3,77,7.2,0,5,Sunny,EQ
18-08-2024,OREGON,nar,USA,44.5685,-122.635667,16.9,25,10.6,71,13,0.74,5,Fog,EQ
18-08-2024,"M 3.6 - 154 km ESE of Cordova, Alaska",nar,USA,60.05430857,-143.189,13.1,16.7,9.6,84,9.7,0.87,4,Overcast,EQ
18-08-2024,UTAH,nar,USA,39.298833,-109.470167,22.7,30.7,15.9,48,16.9,1.56,7,Patchy rain possible,EQ
18-08-2024,TEXAS-MEXICO BORDER REGION,nar,MEX,30.8954,-105.815,31.8,36,27.3,27,33.8,0,9,Sunny,EQ
18-08-2024,"M 2.7 - 38 km S of Porvenir, Mexico",nar,MEX,30.94440857,-105.815,31.8,36,27.3,27,33.8,0,9,Sunny,EQ
18-08-2024,"M 2.6 - 14 km NNE of Lyman, Washington",nar,USA,48.70450857,-122.0138333,12.5,16.2,10.5,91,6.1,9.51,4,Light rain shower,EQ
17-08-2024,OFF COAST OF SOUTHEASTERN ALASKA,nar,USA,58.8714,-139.5264,13.2,14.4,12.2,76,12.2,0.03,3,Overcast,EQ
17-08-2024,"M 2.6 - 49 km ESE of Plush, Oregon",nar,USA,42.2698419,-119.3611667,16.8,26.6,6.9,37,37.1,0,7,Sunny,EQ
17-08-2024,"M 3.0 - 71 km NE of Lime Village, Alaska",nar,USA,61.79550857,-154.3681,5.5,8.2,3.5,99,9.7,4.1,2,Light drizzle,EQ
16-08-2024,"Fish Creek Wildfire, Teton, Wyoming",nar,USA,43.72345857,-110.1454,14.3,24.3,5,45,25.9,0.16,6,Partly cloudy,WF
16-08-2024,OKLAHOMA,nar,USA,36.691,-96.705667,30.1,37.6,24.5,54,20.5,1.97,9,Sunny,EQ
20-08-2024,Flood in United States,nar,USA,35.60946265,-75.46830392,23.6,25.7,22.5,75,26.6,1.11,6,Cloudy,FL
16-08-2024,"Dirt Road Wildfire, King, Texas",nar,USA,33.46067524,-100.5010333,34.1,41.1,27.7,30,27.7,0.07,9,Patchy rain possible,WF
16-08-2024,"M 4.5 - 10 km NNE of Stony Hill, Jamaica",nar,JAM,18.21920857,-76.7593,28.5,32.1,25.5,75,16.6,1.6,7,Moderate rain at times,EQ
16-08-2024,"M 4.1 - 28 km NNE of The Valley, Anguilla",nar,AIA,18.51250857,-62.9919,28.5,28.8,28.2,74,26.3,0.02,7,Sunny,EQ
15-08-2024,UTAH,nar,USA,39.439833,-111.059,23.7,27.9,19.4,24,18.4,0,7,Sunny,EQ
15-08-2024,"Midway Pasture Wildfire, Wilbarger, Texas",nar,USA,34.00402857,-99.1963,35.6,41.7,30.8,30,33.8,0,10,Sunny,WF
15-08-2024,Wildfire in Canada 1021460,nar,CAN,64.76291489,-123.3909094,14.1,18.5,10.2,56,13.7,0,5,Partly cloudy,WF
15-08-2024,OREGON,nar,USA,44.799,-123.758667,13.4,16.6,10.9,90,12.6,0.2,4,Fog,EQ
15-08-2024,UTAH,nar,USA,37.491667,-110.200333,24.9,29.9,19.5,26,23.4,0,7,Sunny,EQ
15-08-2024,"M 3.2 - 10 km ENE of Ipís, Costa Rica",nar,CRI,10.06790857,-83.9366,18.6,24.6,13.3,91,5.8,28.68,5,Moderate or heavy rain shower,EQ
15-08-2024,Flood in Mexico,nar,MEX,23.2730516,-101.1087574,21,25.9,17.2,63,24.8,1.8,6,Patchy rain possible,FL
14-08-2024,"M 4.3 - 7 km NNE of Rizo de Oro, Mexico",nar,MEX,16.08970857,-92.4676,19.4,24.5,14.7,85,10.4,12.13,5,Light rain shower,EQ
14-08-2024,NORTHERN CALIFORNIA,nar,USA,41.922167,-122.308333,18.4,29.1,9.4,52,23.4,0.01,7,Partly cloudy,EQ
14-08-2024,"M 2.9 - 13 km WSW of Quinton, Oklahoma",nar,USA,35.13267524,-95.50766667,31.2,38.9,25.2,53,19.1,0.99,8,Thundery outbreaks possible,EQ
14-08-2024,"M 2.6 - 127 km NNE of Chalkyitsik, Alaska",nar,USA,67.76640857,-142.6218,11.6,16.1,5.7,58,30.2,0,5,Partly cloudy,EQ
14-08-2024,"M 3.7 - 109 km WSW of Inuvik, Canada",nar,CAN,68.19970857,-136.3126,15.8,21,10.5,50,10.4,0,6,Sunny,EQ
14-08-2024,OHIO,nar,USA,41.6988,-81.4975,21.2,25.3,17.1,59,14,0,7,Sunny,EQ
14-08-2024,OFF COAST OF OREGON,nar,USA,42.293,-125.070833,13.4,16.9,10.1,84,10.4,0.01,5,Sunny,EQ
13-08-2024,"M 3.0 - 198 km WSW of Pistol River, Oregon",nar,USA,41.91550857,-126.7271,13.2,17.1,9,77,11.5,0.01,4,Patchy rain possible,EQ
13-08-2024,SOUTHERN ALASKA,nar,USA,61.829333,-144.034333,4.3,8.6,-0.3,94,5,12.96,2,Light rain shower,EQ
13-08-2024,"M 3.6 - 56 km SE of Chiniak, Alaska",nar,USA,57.24300857,-151.7468,10.9,13.3,8.3,70,13.7,0,4,Sunny,EQ
13-08-2024,"M 2.5 - 21 km W of Carlsbad, New Mexico",nar,USA,32.47380857,-104.4585,31.3,37.6,25,32,34.9,0,9,Sunny,EQ
17-08-2024,Hurricane Ernesto,nar,BMU,31.44900857,-65.2,26.7,27.8,25.6,91,105.5,142.39,6,Moderate or heavy rain shower,SW
15-08-2024,Flood in United States,nar,USA,40.2952519,-111.7011567,21.5,24.9,18.7,31,20.5,0,6,Sunny,FL
09-08-2024,"M 3.0 Other Event - 33 km SE of Minto, Alaska",nar,USA,64.96830857,-148.9112,10.4,11.8,9.5,89,10.8,2.54,3,Light drizzle,EQ
13-08-2024,Hurricane Ernesto,nar,FRA,16.24900857,-61.3,26.4,27.5,24.9,87,42.5,49.65,6,Torrential rain shower,SW
13-08-2024,Flood in United States,nar,USA,35.48292085,-97.57596803,32.2,38.7,26.6,40,24.8,0,9,Partly cloudy,FL
09-08-2024,"M 4.4 - 89 km NE of Nanortalik, Greenland",nar,GRL,60.72080857,-44.0243,3,8.1,-1.9,45,7.6,0,2,Cloudy,EQ
09-08-2024,Earthquake in Greenland,nar,GRL,60.670814,-43.56333863,6.5,7.2,5.6,63,11.2,0,2,Cloudy,EQ
09-08-2024,"M 2.6 - 40 km SW of Karluk, Alaska",nar,USA,57.33870857,-154.8859,10.3,11.7,9.1,88,14.8,1.79,3,Mist,EQ
09-08-2024,Wildfire in Canada 1021188,nar,CAN,61.9457962,-110.4371902,12.1,13.3,10.5,81,19.1,0,3,Cloudy,WF
09-08-2024,"M 3.4 - 204 km SSE of Atka, Alaska",nar,USA,50.48050857,-173.3834,10.7,11.6,9.3,96,41,4.13,3,Light drizzle,EQ
09-08-2024,"Dove Creek Wildfire, Box Elder, Utah",nar,USA,41.72825857,-113.461593,24.3,31.1,18.7,23,24.8,0.57,7,Patchy rain possible,WF
09-08-2024,CENTRAL ALASKA,nar,USA,63.2926,-144.3586,5.7,9.5,2.2,79,7.9,0.5,2,Patchy rain possible,EQ
09-08-2024,Tropical Storm Debby,nar,USA,41.74900857,-77.7,8.4,16.7,1.2,69,20.5,0,4,Fog,SW
09-08-2024,SOUTH CAROLINA,nar,USA,34.149333,-80.7385,22.1,27,18.6,52,18.7,0,7,Partly cloudy,EQ
09-08-2024,"M 2.6 - 6 km NW of Belfair, Washington",nar,USA,47.54067524,-122.8818333,19,27.4,12.9,73,13.7,0,6,Fog,EQ
09-08-2024,"M 2.6 - 64 km NNE of White Mountain, Alaska",nar,USA,65.21860857,-162.6817,9.1,10.8,6.3,82,29.2,0.61,3,Light drizzle,EQ
09-08-2024,Tropical Cyclone DEBBY-24,nar,CUB,20.9,-76.6,29.1,35.7,24.3,69,25.2,2.42,8,Patchy rain possible,TC
09-08-2024,"M 2.6 - 37 km SSE of Goldfield, Nevada",nar,USA,37.42580857,-117.1298,27.7,33,22.7,25,16.6,0,8,Sunny,EQ
09-08-2024,OREGON,nar,USA,42.226167,-122.703333,21,31.9,12.3,46,12.2,0,8,Sunny,EQ
09-08-2024,Forest fires in Canada,nar,CAN,50.59009046,-78.86732574,6.3,7,5.9,96,23.4,11.63,2,Light rain,WF
08-08-2024,"Floyd Jefferson Rd. Wildfire, Floyd, Georgia",nar,USA,34.18845297,-85.4072222,27.8,34,22.5,67,13.3,1.39,7,Patchy rain possible,WF
08-08-2024,Wildfire in Canada 1021223,nar,CAN,57.94888005,-99.27474591,16.1,22.4,9.1,52,15.5,0,6,Partly cloudy,WF
08-08-2024,Wildfire in Canada 1021282,nar,CAN,56.68555516,-102.9680742,16.1,22.4,9.1,52,15.5,0,6,Partly cloudy,WF
08-08-2024,"M 4.3 - 133 km SW of Ocós, Guatemala",nar,MEX,13.61190857,-92.9526,27.7,30,25.1,78,9.7,2.16,7,Patchy rain possible,EQ
08-08-2024,"M 2.6 - 67 km NE of Ruby, Alaska",nar,USA,65.16000857,-154.3478,12.9,16.1,10.4,87,13,3.95,4,Light rain shower,EQ
08-08-2024,"M 3.0 - 105 km SSE of Lowell Point, Alaska",nar,USA,59.22940857,-148.7976,10.6,13,7.6,97,6.5,20.38,3,Light rain,EQ
09-08-2024,Tropical Cyclone DEBBY-24,nar,USA,29.5,-83.7,23.3,25.4,21.6,85,8.3,0.57,6,Patchy rain possible,TC
09-08-2024,Tropical Storm Debby,nar,USA,36.24900857,-80.2,18,24.8,12.2,47,9.7,0,6,Sunny,SW
08-08-2024,Flood in United States,nar,USA,40.7814865,-73.95905443,21.6,23.2,20.2,79,19.4,1.51,5,Light rain shower,FL
08-08-2024,Flood in Mexico,nar,MEX,19.47428895,-99.29117134,17.9,24.4,12.9,65,16.9,3.4,5,Patchy rain possible,FL
07-08-2024,"Paint Crossing Wildfire, Throckmorton, Texas",nar,USA,33.11813366,-99.3484047,24.7,28.1,21.6,67,47.2,5.71,6,Light rain shower,WF
07-08-2024,"BIG GULCH Wildfire, Moffat, Colorado",nar,USA,40.56417557,-107.779833,16.6,27.2,5.2,36,23,0,7,Sunny,WF
07-08-2024,"M 4.2 - 13 km SE of Tenosique, Mexico",nar,MEX,17.44940857,-91.3246,25.8,30.2,22.3,87,10.4,15.72,7,Light rain shower,EQ
07-08-2024,"M 3.1 Landslide - 28 km SW of Lowell Point, Alaska",nar,USA,59.95600857,-149.823,9.4,10.7,5.5,97,10.1,2.27,3,Light drizzle,EQ
07-08-2024,"M 3.4 - 9 km N of Stonewall, Oklahoma",nar,USA,34.78967524,-96.519,24.2,29.8,19.8,80,24.8,12.73,6,Light rain shower,EQ
07-08-2024,tsunami in USA,nar,USA,59.904,-149.825,9.4,10.7,5.5,97,10.1,2.27,3,Light drizzle,TN
07-08-2024,"County Line - Garfield Wildfire, Garfield, Montana",nar,USA,46.93255457,-107.409668,23.6,30,16.9,39,18,0,8,Sunny,WF
07-08-2024,WASHINGTON,nar,USA,48.807167,-119.4215,25.1,34.8,14.5,29,6.8,0,8,Sunny,EQ
07-08-2024,"M 2.6 - 26 km S of Ucluelet, Canada",nar,CAN,48.75400857,-125.5465,16.6,19.2,13.9,79,12.6,0,4,Cloudy,EQ
07-08-2024,"M 5.2 - 24 km SW of Lamont, CA",nar,USA,35.15800857,-119.097,33.4,43.7,23.2,14,16.9,0,10,Sunny,EQ
07-08-2024,"M 2.6 - 8 km SE of Katie, Oklahoma",nar,USA,34.57517524,-97.28716667,24.5,30.1,19.6,75,36.7,18.24,7,Light rain shower,EQ
07-08-2024,"M 2.8 - 58 km ESE of King Cove, Alaska",nar,USA,54.86520857,-161.5102,10.5,11.9,8.7,86,11.9,0.04,3,Overcast,EQ
06-08-2024,"Element Wildfire, Mohave, Arizona",nar,USA,35.50664157,-114.09145,28.1,33.8,22.1,17,31,0,8,Sunny,WF
06-08-2024,Wildfire in Canada 1020976,nar,CAN,62.52104458,-122.1080185,5.7,6.9,4.5,92,9.7,0.5,2,Fog,WF
06-08-2024,Wildfire in Canada 1021013,nar,CAN,61.15675823,-126.3456395,12.9,18.6,6.2,56,17.3,0.01,5,Partly cloudy,WF
06-08-2024,Wildfire in Canada 1021011,nar,CAN,63.32247801,-118.4137731,9.9,14.8,5.2,67,23.4,0.18,3,Overcast,WF
06-08-2024,"M 3.4 - 77 km W of The Bottom, Bonaire, Saint Eustatius and Saba ",nar,VIR,17.64517524,-63.98283333,28.3,29.8,27.2,76,26.6,0.64,6,Patchy rain possible,EQ
27-09-2024,CENTRAL ALASKA,nar,USA,62.0814,-147.4873,0.1,3.5,-2.8,89,7.6,1.05,1,Moderate or heavy snow showers,EQ
27-09-2024,CENTRAL ALASKA,nar,USA,63.8772,-145.6294,2.8,4.4,1.6,87,9,0.18,1,Patchy rain possible,EQ
